id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,intensidad_min,intensidad_max,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
82,180.0,47.55634918610404,0.4736615229602786,0.9625668449197861,15.138795132120961,116.46111111111111,29.0,198.0,340.1388888888889,315.3888888888889,333,309,348,323
83,527.0,84.52691193458118,0.4912301468115122,0.9634369287020109,25.903614421069328,61.98671726755218,2.0,203.0,359.3472485768501,236.67741935483872,347,224,371,251
84,301.0,61.698484809834994,0.3239746474497874,0.9741100323624595,19.576646877473273,47.348837209302324,11.0,164.0,140.11295681063123,78.03986710963456,131,69,151,88
85,328.0,65.45584412271572,0.5455267692130863,0.967551622418879,20.435815879801165,59.96951219512195,21.0,139.0,58.021341463414636,181.65548780487805,48,173,70,191
86,245.0,56.04163056034261,0.46564377703516324,0.9645669291338582,17.66192765414112,33.31836734693878,5.0,110.0,127.37959183673469,373.8530612244898,119,366,137,383
87,291.0,61.4558441227157,0.24380884380778967,0.9603960396039604,19.248706645328987,46.618556701030926,3.0,131.0,383.16494845360825,347.9518900343643,374,339,393,358
88,476.0,79.59797974644667,0.6046119678442181,0.967479674796748,24.61832697999475,77.05042016806723,15.0,230.0,143.03781512605042,232.2920168067227,131,220,156,245
89,190.0,48.970562748477136,0.5497453611851446,0.9743589743589743,15.553633450087505,102.47894736842105,39.0,175.0,240.31578947368422,163.46315789473684,234,156,248,172
90,230.0,53.798989873223334,0.2810309032710548,0.9704641350210971,17.112717355495807,37.82608695652174,4.0,124.0,415.204347826087,298.61304347826086,407,291,424,307
91,150.0,43.798989873223334,0.3866286717697922,0.9615384615384616,13.81976597885342,110.88,44.0,175.0,348.68,372.08666666666664,342,366,356,380
92,403.0,73.01219330881975,0.5786910949921785,0.96875,22.65205369339104,65.81637717121588,8.0,186.0,349.4665012406948,255.35235732009926,338,244,362,267
93,219.0,53.45584412271571,0.5631103183654483,0.9605263157894737,16.698486766680407,39.082191780821915,6.0,121.0,202.36073059360731,427.07762557077626,195,418,211,436
94,492.0,84.18376618407356,0.5841261891453041,0.944337811900192,25.028660691489268,65.8821138211382,4.0,195.0,239.8678861788618,186.84552845528455,228,173,252,201
95,268.0,58.52691193458118,0.3871841389439281,0.9745454545454545,18.47236308621676,77.66791044776119,16.0,165.0,223.62313432835822,198.6865671641791,214,190,233,209
